Id_pedido;Data;Cliente_ID;Product_ID;Price
240381;23/10/2023;578649254;5896428;26
759563;18/05/2023;598041477;5826066;110
4552566;23/12/2023;518872821;5862564;285
5498987;04/11/2022;597184514;5774946;80
8152985;02/02/2024;590949223;5528034;132
8743202;30/06/2023;567289579;5803519;94
21465000;02/03/2022;592262174;5836522;299
1788891383;21/03/2024;597040052;5724230;14
25455575;11/04/2021;416761821;5774894;142
40470900;11/02/2023;588222604;5764750;19
41466697;25/09/2022;597144867;5790563;230
44921790;05/06/2022;416761821;5549838;39
4581229436;24/02/2024;597040052;5773361;14
49702380;12/07/2023;558119458;5815036;117
50053053;06/01/2021;585027010;5836488;159
9683531389;19/04/2022;387249893;5729898;3000
2998306753;07/02/2021;502260544;5809910;2000
55656708;31/07/2021;525940541;5772448;119
57870911;11/04/2023;409811593;5880207;277
7087319950;17/02/2024;597040052;5803877;14
73137745;18/04/2023;596370928;5822643;83
7208389993;10/03/2023;521484087;5700032;5
437686347;22/04/2023;597040052;5882777;14
75504302;27/05/2023;416761821;4571;157
79344483;11/02/2024;573633100;5758032;19
79930465;01/03/2024;412461044;5850389;29
81133302;02/05/2022;597100177;5561048;244
85265693;03/05/2024;596370928;5839361;51
86952737;08/06/2023;590949223;5836843;76
90809107;09/12/2022;471869326;5813417;194
94429339;27/06/2024;598276641;5628493;239
95570202;23/11/2022;477542957;5810480;101
95906639;25/12/2021;596370928;5650430;79
95966127;21/09/2023;596761517;5689469;2000
97820663;20/07/2022;598276641;5726160;56
99582041;25/12/2021;598276641;5726160;168
9196233294;13/01/2023;521484087;5700032;4
117783532;07/10/2021;596667638;5885848;34
119537325;25/11/2021;596667638;5839412;247
9536102435;06/07/2023;521484087;5700032;12
4265576637;12/02/2021;597040052;4229;14
130016789;11/12/2021;413500273;5736095;77
138884542;02/11/2022;535371044;5854109;116
142588820;20/04/2023;564799545;5766378;230
151698610;20/07/2022;581003556;5802431;176
151702641;01/07/2023;598551480;60181;178
152853629;22/04/2023;525940541;5550030;177
155363222;28/01/2022;565654046;5845609;265
9205047661;08/06/2022;597040052;5804045;14
157900685;21/02/2022;598436331;59892;299
159439101;08/08/2022;596370928;5550114;112
161397173;24/10/2022;590949223;5905557;15
165050728;10/11/2023;525940541;5867074;55
167303621;08/03/2022;581003556;5815167;162
168916501;29/02/2024;578649254;5867161;299
169979201;17/08/2022;598834621;5902154;216
175492790;10/07/2023;567289579;39956;195
9961362209;04/08/2023;580815064;5561488;10
181896867;03/01/2024;581003556;5789896;95
181967444;13/01/2023;597717159;5711080;296
181980076;01/09/2023;596372723;5649236;36
183060256;01/11/2021;596370928;5549786;100
183686586;29/10/2021;598551480;5614838;90
8925135897;24/10/2021;521484087;5700032;5
185368725;01/05/2021;598551480;60181;90
186152603;14/01/2023;578479164;5878647;17
187533364;14/04/2021;566888554;5540779;298
188183470;15/08/2023;525940541;5836549;258
193112819;23/10/2023;566888554;5742325;300
